Electricity_Source,ES_Multiplier,Application_Name,Learning_Method,LM_Multiplier,Model_Used,Model_Multiplier,Dataset_Size,Dataset_Size_Category,Dataset_Size_Numeric,Dataset_Size_Multiplier,Data_Type,Data_Type_Multiplier,Dataset_Type,Dataset_Type_Multiplier,GPU_Used,GPU_Multiplier,Training_Time,Power_Consumption,Carbon_Emission,Carbon_Footprint
Natural Gas,2.0,Image Classification,Supervised,1.2,RNN,1.6,40,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,TPU_v4,0.6,8.639999999999999,5.183999999999999,10.368,1
Nuclear,1.0,Speech Recognition,Unsupervised,1.5,SVM,1.3,30,Medium,10.0,1.0,Video,2.0,Structured,1.0,V100,1.0,3.120000000000001,3.120000000000001,3.120000000000001,0
Solar,0.5,Speech Recognition,Self-Supervised,1.8,SVM,1.3,100,Medium,10.0,1.0,Numeric,0.8,Structured,1.0,TPU_v3,0.7,3.209142857142858,2.2464000000000004,1.1232000000000002,0
Wind,0.3,Speech Recognition,Reinforcement,2.0,SVM,1.3,60,Medium,10.0,1.0,Numeric,0.8,Structured,1.0,RTX_3090,1.2,2.0800000000000005,2.4960000000000004,0.7488000000000001,0
Wind,0.3,Chatbot,Reinforcement,2.0,CNN,1.8,70,Large,100.0,1.2,Video,2.0,Structured,1.0,RTX_3090,1.2,9.6,11.52,3.4560000000000004,0
Nuclear,1.0,Chatbot,Supervised,1.2,Decision Tree,1.2,90,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,TPU_v4,0.6,6.48,3.888,3.888,0
Hydro,0.7,Chatbot,Reinforcement,2.0,Random Forest,1.5,80,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,TPU_v3,0.7,9.257142857142862,6.480000000000003,4.536000000000002,0
Hydro,0.7,Video Processing,Unsupervised,1.5,Transformer,2.2,100,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,14.256000000000004,14.256000000000004,9.979200000000002,1
Natural Gas,2.0,Image Classification,Supervised,1.2,RNN,1.6,50,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,TPU_v4,0.6,8.639999999999999,5.183999999999999,10.368,1
Wind,0.3,Speech Recognition,Unsupervised,1.5,CNN,1.8,60,Small,1.0,0.8,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,11.045454545454549,12.150000000000002,3.645000000000001,0
Solar,0.5,Video Processing,Supervised,1.2,CNN,1.8,80,Medium,10.0,1.0,Video,2.0,Unstructured,1.5,TPU_v4,0.6,12.96,7.776,3.888,0
Coal,2.5,Fraud Detection,Supervised,1.2,Transformer,2.2,40,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v3,0.7,4.525714285714286,3.168,7.919999999999999,0
